p2train-0	他们觉得父母的行为方式和价值观念太不老了	他们觉得父母的行为方式和价值观念太老了
p2train-609	你再请朋友了	你再请朋友
p2train-610	我们俩都养成了个不好的习惯	我们俩都养成了个好的习惯
p2train-611	这对贵公司想要开拓日本的市场有一定的帮助	这对贵公司开拓日本的市场有一定的帮助
p2train-612	这样给爸妈写信可能是第一次的	这样给爸妈写信可能是第一次
p2train-613	因为吃的好不好是不是个大事	因为吃的好不好不是个大事
p2train-614	要不然就不是解决问题了	要不然就不是解决问题
p2train-615	吃“绿色食品”还是是最好的选择	吃“绿色食品”是最好的选择
p2train-616	二十世纪出现了叫做“绿色食品”	二十世纪出现了“绿色食品”
p2train-617	吸烟对人体健康只有害无益	吸烟对人体健康有害无益
p2train-618	我很辛苦了	我很辛苦
p2train-619	但有些问题上带来了社会上的关注	但有些问题带来了社会上的关注
p2train-620	因为声调的不同	因为声调不同
p2train-621	现在的年轻人和上一辈之间在沟通方面上有了问题	现在的年轻人和上一辈之间在沟通方面有了问题
p2train-622	我感觉到非常有意义的	我感觉到非常有意义
p2train-623	自家庭教育	家庭教育
p2train-624	这个真让人无法有个性的	这个真让人无法有个性
p2train-625	第三个原因是减少吸烟者人口	第三个原因是减少吸烟人口
p2train-626	在汉城的一个国际旅游公司里当导游工作了	在汉城的一个国际旅游公司里当导游工作
p2train-627	可是这种的态度真不好	可是这种态度真不好
p2train-628	在电视的节目上也大大减少吸烟的场面	电视的节目上也大大减少吸烟的场面
p2train-629	这一本领正是你们教给的	这一本领正是你们教的
p2train-630	所以一次失败了也没关系	所以一次失败也没关系
p2train-631	您们对我来说没关系	您们对我说没关系
p2train-632	学会电脑操作能力	学会电脑操作
p2train-633	在我各人的看法是中学时期分班比较适合	我各人的看法是中学时期分班比较适合
p2train-634	所以人们应该不吸烟了	所以人们应该不吸烟
p2train-635	不知道大家的想法是怎么样	不知道大家的想法怎么样
p2train-636	儿女长大结婚了就各自在自己的小屋里生活	儿女长大结婚了就各自在自己的小屋里
p2train-637	人类一旦意识到问题就可以解决问题的	人类一旦意识到问题就可以解决问题
p2train-638	我一定要报答您吧	我一定要报答您
p2train-639	我九七年的暑假第一次去海外旅游了	我九七年的暑假第一次去海外旅游
p2train-640	对它爱不释手的	对它爱不释手
p2train-641	此类条列是极应被那些有决心想禁烟以维护公众利益的政府所效法的	此类条列是极应被那些有决心禁烟以维护公众利益的政府所效法的
p2train-642	按照情况而适量用农药反正是很重要的	按照情况而适量用农药是很重要的
p2train-643	吸烟者容易得癌症病	吸烟者容易得癌症
p2train-644	由“三个和尚没水喝”这篇短文所反映的其中人性的一个弱点就是――人性是自私的	“三个和尚没水喝”这篇短文所反映的其中人性的一个弱点就是――人性是自私的
p2train-645	相信这一点长处能让我为快乐家庭旅游公司的导游一职做出更多贡献	相信这一点长处能让我为快乐家庭旅游公司做出更多贡献
p2train-646	那么对那些因缺少粮食而挨饿的人怎么办呢	那么那些因缺少粮食而挨饿的人怎么办呢
p2train-647	男女应该是一起受教育	男女应该一起受教育
p2train-648	农民人们一直努力生产农作物	农民一直努力生产农作物
p2train-649	有的人会说是它只不过是一段时间的流行而且	有的人会说是它只不过是一段时间的流行
p2train-650	我因从来没有这么认真的时候	我从来没有这么认真的时候
p2train-651	我才清楚地明白了那时的经济情况比我想像的以严重	我才清楚地明白了那时的经济情况比我想像的严重
p2train-652	也常常发生了矛盾	也常常发生矛盾
p2train-653	每天可以正常生活过去	每天可以正常生活
p2train-654	世界的很多国家已经有了在公共场所上抽烟的时候的法律	世界的很多国家已经有了在公共场所抽烟的时候的法律
p2train-655	虽然他的工作非常忙	虽然他工作非常忙
p2train-656	听流行歌曲是不少人们最喜欢的休闲活动之一	听流行歌曲是不少人最喜欢的休闲活动之一
p2train-657	增加新来的知识所完成的	增加新的知识所完成的
p2train-658	现在孩子的吸烟成了深刻的社会问题	现在孩子吸烟成了深刻的社会问题
p2train-659	而是不让这种心理影响我们的态度的	而是不让这种心理影响我们的态度
p2train-660	我要说所我的看法	我要说我的看法
p2train-661	对代沟问题有三种解决方法	代沟问题有三种解决方法
p2train-662	我已经感谢你们	我感谢你们
p2train-663	现在开始进行学英语	现在开始学英语
p2train-664	从这学期我开始做饭	这学期我开始做饭
p2train-665	可是这使我更专注于我的课业上	可是这使我更专注于我的课业
p2train-666	我国礼貌期间有句这样的标语为人着想	我国有句这样的标语为人着想
p2train-667	虽然每个个人的健康非常重要	虽然每个人的健康非常重要
p2train-668	由“三个和尚没水喝”这个故事	“三个和尚没水喝”这个故事
p2train-669	我们抚养孩子的意思是也包含教育的意思	我们抚养孩子的意思也包含教育的意思
p2train-670	流行歌里有也有人们的一切	流行歌里也有人们的一切
p2train-671	那时我也不知不觉得流下了眼泪	那时我不知不觉得流下了眼泪
p2train-672	这个是社会的问题也有	这个是社会的问题
p2train-673	但他天天吸上了别人抽的烟	但他天天吸上别人抽的烟
p2train-674	足以使腐蚀人民思想	足以腐蚀人民思想
p2train-675	但旦会便宜地给一些穷的国家	但会便宜地给一些穷的国家
p2train-676	这就不能叫是个蔬菜了	这就不能叫蔬菜了
p2train-677	两个月的暑假期间里去了国内的许多城市――厦门	两个月的暑假去了国内的许多城市――厦门
p2train-678	世界比一以前更好	世界比以前更好
p2train-679	我实在没有什么人可用的能力	我实在没有什么可用的能力
p2train-680	一方面就觉得不舒服	一方面觉得不舒服
p2train-681	在每个家庭里的电话铃声换成小河的流水声	每个家庭里的电话铃声换成小河的流水声
p2train-682	人们普遍存在现实自私的心态	人们普遍存在自私的心态
p2train-683	戒烟贴等的戒烟商品	戒烟贴等戒烟商品
p2train-684	长辈也可以用这个机会还告诉晚辈他们说的一些话的道理	长辈也可以用这个机会告诉晚辈他们说的一些话的道理
p2train-685	首先当初中的老师	首先当初中老师
p2train-686	一起聊天儿了	一起聊天儿
p2train-687	在街道的吸烟场所上可以看到这样的人吸烟	在街道的吸烟场所可以看到这样的人吸烟
p2train-688	我认为安乐死的问题的解决还需要一段时间	我认为安乐死问题的解决还需要一段时间
p2train-689	由于每个人心里都存着这种心态	每个人心里都存着这种心态
p2train-690	因为我的汉语水平不太好所以发生了一个很可笑的一个故事	因为我的汉语水平不太好所以发生了一个很可笑的故事
p2train-691	学生们也能在校外结交到异性或甚至损友	学生们也能在校外结交到异性甚至损友
p2train-692	追时髦是已经成为人们的一种生活习惯	追时髦已经成为人们的一种生活习惯
p2train-693	别说中长年男人	别说中年男人
p2train-694	在大学第三年级时参加了一个全国广告设计比赛并获得了亚军	在大学三年级时参加了一个全国广告设计比赛并获得了亚军
p2train-695	在我国这些事是很普遍的一个事	在我国这些事是很普遍的
p2train-696	一直从事过教学	一直从事教学
p2train-697	我认为他是韩国近代时的缩影	我认为他是韩国近代的缩影
p2train-698	而且影响了我的人生之中的路	而且影响了我的人生的路
p2train-699	甚至不要回家	甚至不回家
p2train-700	父亲上书：老爸	父亲：老爸
p2train-701	这是因为代沟是从缺乏了解而产生的	这是因为代沟是从缺乏了解产生的
p2train-702	故欲致信向贵公司申请导旅一职	故致信向贵公司申请导旅一职
p2train-703	她告诉了我一切都要忍耐	她告诉我一切都要忍耐
p2train-704	第二的是它们的内容不太好	第二是它们的内容不太好
p2train-705	在缺乏与异性交往的经验与了解	缺乏与异性交往的经验与了解
p2train-706	如果一般人的话	一般人的话
p2train-707	我也有上过口才训练班	我也上过口才训练班
p2train-708	不难发现到反对与赞成两派都是各有道理的	不难发现反对与赞成两派都是各有道理的
p2train-709	当时我不知道了为什么他们吵架	当时我不知道为什么他们吵架
p2train-710	但一上了高中后我竟遇到了学习的困难	但上了高中后我竟遇到了学习的困难
p2train-711	在分班学校里的学生有可能会与从别校学生谈恋爱	在分班学校里的学生有可能会与别校学生谈恋爱
p2train-712	其间他在图书馆找各种资料的	其间他在图书馆找各种资料
p2train-713	它们包括了新加坡	它们包括新加坡
p2train-714	这社会不是一个人生活的	这社会不是一个人的
p2train-715	不考虑别人的挨饿	不考虑别人挨饿
p2train-716	这是我第一次给您们写信了	这是我第一次给您们写信
p2train-717	我去有一座小卖部	我去一座小卖部
p2train-718	并且为贫穷国家的发展需要人类共同的努力	并且贫穷国家的发展需要人类共同的努力
p2train-719	我对你们觉的感激之情永远地不能忘怀	我对你们的感激之情永远地不能忘怀
p2train-720	他们因自私自利	他们自私自利
p2train-721	他还要劝我：万事开头难	他还劝我：万事开头难
p2train-722	男的需要1.80米高以上	男的需要1.80米以上
p2train-723	但是常常给我们的欢乐	但是常常给我们欢乐
p2train-724	不切实际等的看法	不切实际等
p2train-725	而告诉他们有水的地方	告诉他们有水的地方
p2train-726	拿英语来说每个人如果受到教育就要会用英语	每个人如果受到教育就要会用英语
p2train-727	因为近年来歌手越来越年轻人	因为近年来歌手越来越年轻
p2train-728	有时候其表现方式为非常极端	有时候其表现方式非常极端
p2train-729	到现在	现在
p2train-730	意识到吸烟将会破坏人类的健康和我们的生活的环境了	意识到吸烟将会破坏人类的健康和我们生活的环境了
p2train-731	而每一代的年轻时代都有不同的音乐调	而每一代的年轻时代都有不同的音乐
p2train-732	还有听音乐就是成让人高兴	还有听音乐就是让人高兴
p2train-733	有的则是通过上网或婚姻介绍所介绍的而进入谈恋爱到最后结婚	有的则是通过上网或婚姻介绍所介绍而进入谈恋爱到最后结婚
p2train-734	很多年轻人以及歌曲爱好者从事这种方面的工作	很多年轻人以及歌曲爱好者从事这方面的工作
p2train-735	我们每天每天从发音开始学习	我们每天从发音开始学习
p2train-736	他们根本不知道也如何配合才能真正发挥最大的效果	他们根本不知道如何配合才能真正发挥最大的效果
p2train-737	只只问我们的意见然后说他们的想法	只问我们的意见然后说他们的想法
p2train-738	这个两个方面对我来说	这两个方面对我来说
p2train-739	你们的女儿这么长大了	你们的女儿长大了
p2train-740	当人们处一孤单的时候	当人们孤单的时候
p2train-741	还尊重我们的意见吗	尊重我们的意见吗
p2train-742	在新加坡国立大学国立大学毕业	在新加坡国立大学毕业
p2train-743	我是六岁开始入学的	我是六岁入学的
p2train-744	这样学汉语过程	这样学汉语
p2train-745	所以更喜欢上它	所以更喜欢它
p2train-746	写这封信的当儿	写这封信
p2train-747	指甲发黄等现象	指甲发黄等
p2train-748	流行的歌曲就像有思而里面没有任何内涵的电影	流行的歌曲就像里面没有任何内涵的电影
p2train-749	我较喜欢单独地去旅游	我较喜欢单独去旅游
p2train-750	可是我觉得孩子的朋友也是个第一任老师	可是我觉得孩子的朋友也是第一任老师
p2train-751	父母希望子女学习学得好	父母希望子女学习好
p2train-752	我再给您写信的	我再给您写信
p2train-753	本人认为任何一个人除了上帝以外没有权利结束任何别人的生命	本人认为任何一个人除了上帝以外没有权利结束别人的生命
p2train-754	这天使孩子们晚上不用学习	这天孩子们晚上不用学习
p2train-755	在公共场所内的吸烟问题是不可忽视的	在公共场所的吸烟问题是不可忽视的
p2train-756	这次去香港的不是为了旅游	这次去香港不是为了旅游
p2train-757	我从小到高中学校跟你们在一起生活的时候	我从小到高中跟你们在一起生活的时候
p2train-758	特别消沉了	特别消沉
p2train-759	他们却崇尚西方文化	他们崇尚西方文化
p2train-760	我听说过现在也在非洲那些国家天天死去七	我听说过现在在非洲那些国家天天死去七
p2train-761	我也做了很多事情惹他生气	我也做很多事情惹他生气
p2train-762	而且最近由于学校的实习活动让你困挠着	而且最近学校的实习活动让你困挠着
p2train-763	还有一个三岁的大的妹妹	还有一个三岁大的妹妹
p2train-764	是完全地合适的方法	是完全合适的方法
p2train-765	男生们都经常会捉弄或戏弄她们	男生们经常会捉弄或戏弄她们
p2train-766	现在我们听到的有些音乐歌曲太不象话了	现在我们听到的有些歌曲太不象话了
p2train-767	就会死下去	就会死
p2train-768	我才知道了汉字是中国的文字	我才知道汉字是中国的文字
p2train-769	人们有点改变想法	人们改变想法
p2train-770	然后打的带着在市场买的早餐打的去沙摊	然后带着在市场买的早餐打的去沙摊
p2train-771	我努力而奋斗取得好成绩	我努力奋斗取得好成绩
p2train-772	据市政府之称	据市政府称
p2train-773	这也间接或直接会影响他们的生活习惯等方面	这也间接或直接会影响他们的生活习惯等
p2train-774	我们也是再犯了一样的错误	我们也是犯了一样的错误
p2train-775	一旦总有一天我得了一种不治之症	一旦有一天我得了一种不治之症
p2train-776	硬要他带我去的	硬要他带我去
p2train-777	那时候我们主要谈的是关于在中国的生活如何	那时候我们主要谈的是在中国的生活如何
p2train-778	父母对孩子也来说	父母对孩子来说
p2train-779	人类出生后长大时	人类出生后
p2train-780	我才懂得不少的做道理	我才懂得不少的道理
p2train-781	曾经我有看过有关饥饿的统计	曾经我看过有关饥饿的统计
p2train-782	所以说母亲父母的小时候的教育很重要	所以说父母的小时候的教育很重要
p2train-783	我认为小孩子的第一个老师是父母的	我认为小孩子的第一个老师是父母
p2train-784	这都是你的牺牲的结果	这都是你牺牲的结果
p2train-785	其最重要的一点其实是我想到法国继续学习法语	最重要的一点其实是我想到法国继续学习法语
p2train-786	从很久以前	很久以前
p2train-787	觉得很高兴了	觉得很高兴
p2train-788	大家都能敢做	大家都敢做
p2train-789	当时我跟司机先生说谈话了很长时间	当时我跟司机先生说了很长时间
p2train-790	在校的子女早恋便是父母所担心的其中一个问题	在校的子女早恋便是父母所担心的一个问题
p2train-791	所以应该一起努力的	所以应该一起努力
p2train-792	作为吸烟对个人健康的影响	吸烟对个人健康的影响
p2train-793	即是用流行歌曲可以教育孩子的思想	即用流行歌曲可以教育孩子的思想
p2train-794	有的青少年们羡慕这种行为	有的青少年羡慕这种行为
p2train-795	对身体也好	对身体好
p2train-796	其目的主要是为了使病人解脱痛苦之中	其目的主要是为了使病人解脱痛苦
p2train-797	已经成为困扰我们社会上众多家庭的问题	已经成为困扰我们社会众多家庭的问题
p2train-798	然后我也会慢慢地了解爸爸的想法和价值观	然后我也慢慢地了解爸爸的想法和价值观
p2train-799	我是高三时没考上大学	我高三时没考上大学
p2train-800	吸烟一百害无益	吸烟百害无益
p2train-801	同时也分别存在男子中学以及女子中学	同时也存在男子中学以及女子中学
p2train-802	我想趁这个“五.一”节	这个“五.一”节
p2train-803	我也会说也会想的	我也会说也会想
p2train-804	特别是我更喜欢流行歌曲	我更喜欢流行歌曲
p2train-805	生存就表示痛苦而已时	生存就表示痛苦时
p2train-806	连对我妈妈也很好	对我妈妈也很好
p2train-807	故欲写信致贵公司申请导游的职位	故写信致贵公司申请导游的职位
p2train-808	一般上仪态会比较好	一般仪态会比较好
p2train-809	“对话”这就是关健的	“对话”是关健的
p2train-810	我不能用在社会上站住自己的脚	我不能在社会上站住自己的脚
p2train-811	抽烟对肺等所有的部分不好	抽烟对肺等部分不好
p2train-812	而说实话	说实话
p2train-813	我常常看到吸完烟就把其烟头好不在乎地扔在地上的人	我常常看到吸完烟就把烟头好不在乎地扔在地上的人
p2train-814	在那些死亡人数中	在那些死亡人中
p2train-815	离开着你们	离开你们
p2train-816	影响就会更大的	影响就会更大
p2train-817	我觉得这样做得不对	我觉得这样做不对
p2train-818	当了服务员	当服务员
p2train-819	我知道我应该要帮助你们	我知道我应该帮助你们
p2train-820	对我的意见来说	对我来说
p2train-821	母亲的负担也没有以前那么再重了	母亲的负担也没有以前那么重了
p2train-822	青少年人无一不知吸烟对人体健康带来的危害	青少年无一不知吸烟对人体健康带来的危害
p2train-823	但是有时候要做到的会有困难	但是有时候要做到会有困难
p2train-824	再比如社区内开办教老年人电脑的班	再比如社区内开办教老年人电脑班
p2train-825	就不会怪自己的儿子了	就不怪自己的儿子了
p2train-826	我们的关系之间问题不多了	我们之间问题不多了
p2train-827	一直受到父母的真情和影响	一直受到父母的影响
p2train-828	不是小题大做的	不是小题大做
p2train-829	也不用费很大的心为了准备	也不用费很大的心准备
p2train-830	你应该忍耐现在的有一些痛苦	你应该忍耐现在的一些痛苦
p2train-831	如果我们每个国家都用化肥和农药产量	如果我们每个国家都用化肥和农药
p2train-832	三个和尚络给支持不住而倒下	三个和尚支持不住而倒下
p2train-833	他们以为肯定更有意思了	他们以为肯定更有意思
p2train-834	大家都依赖于别人	大家都依赖别人
p2train-835	我不能支持男女分班的教学方法	我不支持男女分班的教学方法
p2train-836	说难方法就难	说难就难
p2train-837	直接吸烟上的问题	直接吸烟的问题
p2train-838	我在中学时也有学过日语	我在中学时也学过日语
p2train-839	人本来随着内外坏境变化一起变成的	人本来随着内外坏境变化一起变的
p2train-840	我感觉得这样的办法对孩子也有教育方面的好处	我感觉这样的办法对孩子也有教育方面的好处
p2train-841	我也有了希望早日学好茶道	我也希望早日学好茶道
p2train-842	像我的话	像我
p2train-843	而非常赞成	非常赞成
p2train-844	对现在流行什么歌曲也不闻不问	对现在流行什么歌曲不闻不问
p2train-845	我家一年中有八次的祭祀	我家一年中有八次祭祀
p2train-846	登山去吃梨子了	登山去吃梨子
p2train-847	请到那个时候忍耐一下	请到忍耐一下
p2train-848	可能和这些年青人的父母父有点不同	可能和这些年青人的父母有点不同
p2train-849	这次旅游对我很有用的	这次旅游对我很有用
p2train-850	而提高素质以后	提高素质以后
p2train-851	当我和妹妹与父母说话时并无须说完整的汉话	当我和妹妹与父母说话时无须说完整的汉话
p2train-852	他们俩成长的环境不同	他们成长的环境不同
p2train-853	孩子的教育有那么困难	孩子的教育那么困难
p2train-854	但是也还有很多地方就能看到边走边抽烟的人	但是也还有很多地方能看到边走边抽烟的人
p2train-855	学生在上课的时间就有六个小时了	学生上课的时间就有六个小时了
p2train-856	在这里没有水	这里没有水
p2train-857	都是抱着对婚姻浪漫的期待和对未来抱着美好的憧憬而走进结婚的礼堂的	都是抱着对婚姻浪漫的期待和对未来美好的憧憬而走进结婚的礼堂的
p2train-858	我的脚上常常长起水泡	我的脚上常常起水泡
p2train-859	在禁止吸烟的地方上吸的话	在禁止吸烟的地方吸的话
p2train-860	我自己去离我家很近的公园玩的	我自己去离我家很近的公园玩
p2train-861	流行歌曲是现在已经成为一种大众化了	流行歌曲现在已经成为一种大众化了
p2train-862	离婚的事不是没可能的一会事	离婚的事不是没可能的
p2train-863	我天天跟孩子打个交道	我天天跟孩子打交道
p2train-864	工作的忙碌而忽略了他们	工作忙碌而忽略了他们
p2train-865	学习汉语的机会也很多了	学习汉语的机会也很多
p2train-866	人体是最神奇的态作品	人体是最神奇的作品
p2train-867	放学后回到家里来了	放学后回到家里
p2train-868	其实父母不仅是第一个老师还有也是最好的老师	其实父母不仅是第一个老师也是最好的老师
p2train-869	当然在农村工作是第一次的	当然在农村工作是第一次
p2train-870	还有在中关村也不能去	还有中关村也不能去
p2train-871	所以我开始学汉语快三年了	所以我学汉语快三年了
p2train-872	我看将来会有一天能发明无公害的化肥或着农药	我看将来会有一天能发明无公害的化肥或农药
p2train-873	我认为帮助人家自杀（安乐死）是杀人罪的	我认为帮助人家自杀（安乐死）是杀人罪
p2train-874	一到假期就回家乡了	一到假期就回家乡
p2train-875	他们都不喜欢看流行歌曲	他们都不喜欢流行歌曲
p2train-876	中国学校的男女混合式教育都是表达出了男女平等的社会局面	中国学校的男女混合式教育表达出了男女平等的社会局面
p2train-877	而罚款也许就是对这些吸烟者是最好的惩罚	而罚款也许就是对这些吸烟者最好的惩罚
p2train-878	不抽烟的人觉得这个情况不算那么好消息	不抽烟的人觉得这个情况不算好消息
p2train-879	对解决这个问题	解决这个问题
p2train-880	父亲的性格比较温柔和体贴	父亲的性格比较温柔体贴
p2train-881	孩子吃的一切生活需要都是由父母提供的	孩子的一切生活需要都是由父母提供的
p2train-882	间接吸烟上的问题	间接吸烟的问题
p2train-883	流行歌曲让我的舒服	流行歌曲让我舒服
p2train-884	那一种声音是对人们最容易听到的	那一种声音是人们最容易听到的
p2train-885	所以我从小开始去雪山滑滑雪	所以我从小开始去雪山滑雪
p2train-886	影响所致我也觉得能助人是人生乐事	影响我也觉得能助人是人生乐事
p2train-887	我们应该考虑直正所有意义的生命	我们应该考虑直正有意义的生命
p2train-888	那么当每逢星期六的那一天	那么每逢星期六的那一天
p2train-889	而且也是在性格方面	而且也在性格方面
p2train-890	还知道要努力去为创造条件	还知道要努力去创造条件
p2train-891	就在附近离外婆家不远处	就在离外婆家不远处
p2train-892	拿到了很多资料了	拿到了很多资料
p2train-893	当时我参加考大学的考试	当时我参加大学的考试
p2train-894	我觉得那时我受到他的教育方法是我的幸运	我觉得那时我受到他的教育是我的幸运
p2train-895	我只是一个孩子了吧	我只是一个孩子吧
p2train-896	如果无经验者也可申请	无经验者也可申请
p2train-897	有通过音乐能够表示感情	通过音乐能够表示感情
p2train-898	我上小学校的时候	我上小学的时候
p2train-899	而且从小时候就应该开始培养感情	而且从小就应该开始培养感情
p2train-900	大人让孩子享受大自然世界	大人让孩子享受大自然
p2train-901	而吸食二手烟的家人们更是大大增加了致病的危险	而吸二手烟的家人们更是大大增加了致病的危险
p2train-902	我那天听到你这句话特别感动了	我那天听到你这句话特别感动
p2train-903	什么都没有了	什么都没有
p2train-904	从十五岁的时候开始打的球	从十五岁的时候开始打球
p2train-905	粮食问题不是重严重的问题	粮食问题不是严重的问题
p2train-906	但是负责在我们单位当中最重要的部分	但是负责我们单位当中最重要的部分
p2train-907	冬天的有一天	冬天的一天
p2train-908	我有遇到的困难的时期是在生活中最完美的时期	我遇到的困难的时期是在生活中最完美的时期
p2train-909	他曾经说过：人要有礼貌	他曾经说：人要有礼貌
p2train-910	我们必须要吃饱温暖	我们必须要吃饱
p2train-911	我认为在这些方面有不少有解决这个问题的可能性	我认为在这些方面有不少解决这个问题的可能性
p2train-912	同班同学的一对开始了谈恋爱	同班同学的一对开始谈恋爱
p2train-913	而且又影响了周围人的身体	而且影响了周围人的身体
p2train-914	就从文化方面来说	就文化方面来说
p2train-915	因此决定来到北京的语言大学	因此决定来到北京语言大学
p2train-916	这个是中国还没充分认识到的一个大的问题	这是中国还没充分认识到的一个大的问题
p2train-917	我相信没有任何父母亲不希望他们的孩子不成功	我相信没有任何父母亲不希望他们的孩子成功
p2train-918	因为在这个世界上只有男和女两种的人	因为在这个世界上只有男和女两种人
p2train-919	韩国是一个儒教国家之一	韩国是一个儒教国家
p2train-920	而且容易接受这种变化	而且容易接受变化
p2train-921	到了放假我朋友回国去以后	到了放假我朋友回国以后
p2train-922	中国也不是例外	中国也不例外
p2train-923	我是一个家里最小的女儿	我是家里最小的女儿
p2train-924	想知道更多的关于中国的东西	想知道更多关于中国的东西
p2train-925	如果是父母希望孩子能成为像自己一样的大人	如果父母希望孩子能成为像自己一样的大人
p2train-926	父母在作出这么一个决定	父母作出这么一个决定
p2train-927	网球及水上滑水	网球及滑水
p2train-928	可是以后我快要明白了	可是我快要明白了
p2train-929	而且常做过我自己愿意的事	而且常做我自己愿意的事
p2train-930	便任职于本地的一家旅游公司的导游	便任职本地的一家旅游公司的导游
p2train-931	我来北京以后才知道了自己的生活应该靠自己	我来北京以后才知道自己的生活应该靠自己
p2train-932	以前我们社会太忽视了吸烟的有害性	以前我们社会太忽视吸烟的有害性
p2train-933	只要“真心爱”就是最普通也是最理想的男女结交方式	“真心爱”就是最普通也是最理想的男女结交方式
p2train-934	不禁不泪落	不禁泪落
p2train-935	因为上一代的人们跟现在年青人住的生活环境有很大的差异	因为上一代的人们跟现在年青人的生活环境有很大的差异
p2train-936	所以不得已得辞掉工作	所以不得已辞掉工作
p2train-937	在韩国考上大学跟中国情况差不多	在韩国考大学跟中国情况差不多
p2train-938	在韩国流行歌曲中我喜欢的歌曲也有是有	在韩国流行歌曲中我喜欢的歌曲有是有
p2train-939	对个人与别人大家都好	对个人与大家都好
p2train-940	是我这一生人最感激不尽的人	是我这一生最感激不尽的人
p2train-941	可能会得好多种的病	可能会得好多种病
p2train-942	有书好读	有书读
p2train-943	您都那么关心我和我哥哥俩	您都那么关心我和我哥哥
p2train-944	而觉得所有的学校应该要改成男女混合式的学校	而觉得所有的学校应该改成男女混合式的学校
p2train-945	可是喜欢听流行歌曲也不奇怪的	可是喜欢听流行歌曲也不奇怪
p2train-946	但我能感觉到他们的对客人的热情	但我能感觉到他们对客人的热情
p2train-947	在人生地疏的地方一切由自己动手	在人生地疏的地方一切自己动手
p2train-948	对爱情方面的挺多的	爱情方面的挺多的
p2train-949	当中有牵涉到其他的因素	当中牵涉到其他的因素
p2train-950	我认为现在的中国的男女分班的潮流是教师和父母相互避开孩子们的性教育的问题的结果	我认为现在的中国的男女分班的潮流是教师和父母避开孩子们的性教育的问题的结果
p2train-951	如果父母跟祖父祖母一起住在的话	如果父母跟祖父祖母一起住的话
p2train-952	父母要对孩子讲得有道理	父母要对孩子讲道理
p2train-953	后果也可能不太好的	后果也可能不太好
p2train-954	而且要关心社会的	而且要关心社会
p2train-955	日本基本上3就算只有一个民族	日本基本上只有一个民族
p2train-956	在汉城出生了	在汉城出生
p2train-957	“安乐死”对这问题很难说明	“安乐死”这问题很难说明
p2train-958	在家里只留您们两个人	家里只留您们两个人
p2train-959	她从来一直没有男朋有	她一直没有男朋有
p2train-960	很吃惊了	很吃惊
p2train-961	我想这样的态度是对自己和国家都不好	我想这样的态度对自己和国家都不好
p2train-962	如果在公共场所中吸烟	如果在公共场所吸烟
p2train-963	我们做子女们	我们子女们
p2train-964	我要向别的留学生学习吧	我要向别的留学生学习
p2train-965	把挫折就变成动力	把挫折变成动力
p2train-966	不论男女老少都喜欢这些首歌曲	不论男女老少都喜欢这些歌曲
p2train-967	法国的一部的小说里有一个故事	法国一部的小说里有一个故事
p2train-968	这也是对我很满意的事情	这也是我很满意的事情
p2train-969	那次需要妈妈和我的帮忙	那需要妈妈和我的帮忙
p2train-970	好的歌曲是一个努力做出来的	好的歌曲是努力做出来的
p2train-971	现在了逐渐产生了用非化学物质合成的化肥	现在逐渐产生了用非化学物质合成的化肥
p2train-972	几年前流行的一首歌让子女们想念父母的歌	几年前流行的一首让子女们想念父母的歌
p2train-973	现在在日本的吸烟者越来越少	现在日本的吸烟者越来越少
p2train-974	每一次老师布置数学的作业	每一次老师布置数学作业
p2train-975	要抽烟的人的找个地方去抽烟好了	要抽烟的人找个地方去抽烟好了
p2train-976	跟子女谈话也是重要	跟子女谈话也重要
p2train-977	对我来说还可以能学好多中国文化	对我来说还可以学好多中国文化
p2train-978	你们结了婚已经25年了吧	你们结婚已经25年了吧
p2train-979	所以我经常和父母亲一起商量对于这个问题	所以我经常和父母亲一起商量这个问题
p2train-980	过了这样的日子时	过这样的日子时
p2train-981	现实生活中主要常见到的相识方法应可被归纳成几类	现实生活中主要常见的相识方法应可被归纳成几类
p2train-982	但是父母毕竟是的第一任老师	但是父母毕竟是第一任老师
p2train-983	伯伯的名叫	伯伯名叫
p2train-984	可是至少我的周围中没有人成功戒烟	可是至少我的周围没有人成功戒烟
p2train-985	所以那天她做什么事都不能做	所以那天她什么事都不能做
p2train-986	我们觉得流行歌曲水平不够高级水平是一种偏见和根深蒂固的想法	我们觉得流行歌曲水平不够高是一种偏见和根深蒂固的想法
p2train-987	若一旦发现就一律罚款	一旦发现就一律罚款
p2train-988	不能靠听力而判断不了事情	不能靠听力而判断事情
p2train-989	如果我是三个人之中之一	如果我是三个人之一
p2train-990	两个人一起住一个公寓了	两个人一起住一个公寓
p2train-991	总是给人感觉一种“敬而远之”之感	总是给人一种“敬而远之”之感
p2train-992	而且有人甚至来电话时接电话而聊天儿	而且有人甚至来电话时接电话聊天儿
p2train-993	在这世界上再也不能有更进步的科技和一切发明了	在这世界上再也不能有更进步的科技和发明了
p2train-994	可惜北京的春天净是吹风	可惜北京的春天净是风
p2train-995	代沟问题一直存在的	代沟问题一直存在
p2train-996	要买一架质量好的	要买质量好的
p2train-997	男女分班的教学方式已经逐渐地广泛化了起来	男女分班的教学方式已经逐渐地广泛化起来
p2train-998	他还是给好多人很大的影响	他还给好多人很大的影响
p2train-999	弟弟明年要毕业的	弟弟明年要毕业
